id,current_price,market_cap,price_change_percentage_24h,high_24h,low_24h,ath,atl,Time_stamp
starknet,0.122446,500105609,1.83184,0.125631,0.118373,4.41,0.097027,05-09-2025 22:02:07
true-usd,0.996252,493841501,-0.24746,1.002,0.996265,1.62,0.88355,05-09-2025 22:02:07
frax-ether,4254.18,479975126,-0.53076,4444.21,4240.23,4906.89,1137.25,05-09-2025 22:02:07
telcoin,0.00518358,478973857,8.45241,0.00541357,0.00479544,0.064483,6.474e-05,05-09-2025 22:02:07
solv-protocol-solvbtc-bbn,110211.0,476925952,0.96204,111362.0,108279.0,175368.0,11402.13,05-09-2025 22:02:07
usdd,1.0,466696563,0.07032,1.001,0.998391,1.052,0.928067,05-09-2025 22:02:07
polygon-pos-bridged-weth-polygon-pos,4285.56,465585141,-0.43563,4473.08,4266.67,4948.98,1390.73,05-09-2025 22:02:07
dydx-chain,0.591296,460828378,2.9435,0.60979,0.565806,4.52,0.418236,05-09-2025 22:02:07
apecoin,0.575299,460316809,2.68007,0.583043,0.5577,26.7,0.354833,05-09-2025 22:02:07
mantle-bridged-usdt-mantle,1.001,459707035,0.11608,1.009,0.993853,1.26,0.869914,05-09-2025 22:02:07
neo,6.45,454902335,0.80486,6.62,6.34,198.38,0.078349,05-09-2025 22:02:07
apenft,4.51433e-07,447067710,-0.1861,4.53172e-07,4.5156e-07,7.53e-06,2.98737e-07,05-09-2025 22:02:07
helium,2.4,445760075,-1.84425,2.45,2.27,54.88,0.113248,05-09-2025 22:02:07
eigenlayer,1.35,444660655,13.546,1.36,1.17,5.65,0.668501,05-09-2025 22:02:07
based-brett,0.04473629,443807374,3.70123,0.04688018,0.04270835,0.234204,0.00084753,05-09-2025 22:02:07
reserve-rights-token,0.00740351,442171619,2.3306,0.00768624,0.00713559,0.117424,0.00121354,05-09-2025 22:02:07
superstate-short-duration-us-government-securities-fund-ustb,10.81,439575790,0.01074,10.81,10.81,10.81,10.29,05-09-2025 22:02:07
polygon-pos-bridged-dai-polygon-pos,0.999788,439553439,0.00501,1.0,0.999502,1.025,0.957024,05-09-2025 22:02:07
arweave,6.59,431744394,5.80618,6.76,6.18,89.24,0.298788,05-09-2025 22:02:07
instadapp,6.37,431435476,-0.15157,6.65,6.34,24.4,0.366538,05-09-2025 22:02:07
savings-dai,1.16,428389341,0.02321,1.17,1.16,1.27,0.186576,05-09-2025 22:02:07
bybit-staked-sol,224.41,427243258,-0.34512,231.43,221.78,308.6,103.09,05-09-2025 22:02:07
bridged-usdc-polygon-pos-bridge,0.99981,425168196,0.01156,0.999946,0.999649,1.028,0.975633,05-09-2025 22:02:07
benqi-liquid-staked-avax,29.81,424174776,-1.92024,30.69,29.25,103.55,9.25,05-09-2025 22:02:07
coredaoorg,0.414541,419307298,0.08996,0.423398,0.410042,6.14,0.334237,05-09-2025 22:02:07
thorchain,1.18,415537297,0.92224,1.24,1.17,20.87,0.00851264,05-09-2025 22:02:07
hashnote-usyc,1.099,412700527,-0.07208,1.1,1.099,1.12,1.026,05-09-2025 22:02:07
dexe,7.22,411799604,-1.51907,7.33,7.16,32.38,0.671563,05-09-2025 22:02:07
compound-governance-token,43.34,410092490,3.59419,44.3,41.62,910.54,25.74,05-09-2025 22:02:07
usdb,0.998013,405397000,0.03965,1.021,0.97142,1.088,0.882623,05-09-2025 22:02:07
zksync,0.055948,404979059,2.19109,0.057712,0.054492,0.320983,0.03697818,05-09-2025 22:02:07
sun-token,0.02112222,404948202,-3.10343,0.02180202,0.0211224,66.45,0.00462303,05-09-2025 22:02:07
tokenize-xchange,4.99,403999671,-0.13423,5.11,4.88,50.43,0.111255,05-09-2025 22:02:07
kava,0.370779,401627857,0.61657,0.372812,0.367684,9.12,0.247359,05-09-2025 22:02:07
steakhouse-usdc-morpho-vault,1.098,398729167,-0.04982,1.099,1.098,9.61,1.034,05-09-2025 22:02:07
elrond-erd-2,13.82,395709777,1.05745,14.24,13.64,545.64,6.51,05-09-2025 22:02:07
axie-infinity,2.36,394281770,2.08004,2.41,2.28,164.9,0.123718,05-09-2025 22:02:07
ecash,1.941e-05,386843875,1.25801,1.975e-05,1.908e-05,0.00038001,1.604e-05,05-09-2025 22:02:07
chiliz,0.03923012,385471841,0.91516,0.04016775,0.03845459,0.878633,0.00410887,05-09-2025 22:02:07
treehouse-eth,5201.86,380052150,-0.72506,5430.76,5177.14,6000.87,1683.91,05-09-2025 22:02:07
superfarm,0.607702,376873719,10.06081,0.617239,0.551198,4.74,0.070397,05-09-2025 22:02:07
wrapped-avax,24.37,375620848,-1.51708,25.04,23.91,2000.68,7.91,05-09-2025 22:02:07
chain-2,0.01064033,372861810,2.64795,0.01108428,0.01029353,0.184139,0.0007055,05-09-2025 22:02:07
olympus,22.6,370541770,-0.40277,23.0,22.56,1415.26,7.54,05-09-2025 22:02:07
aioz-network,0.306388,364121636,1.84754,0.313419,0.299545,2.65,0.01099588,05-09-2025 22:02:07
